datetime,value
2021-01-23 09:00:00,258.57
2021-01-23 10:00:00,210.4
2021-01-23 11:00:00,198.93
2021-01-23 12:00:00,164.6
2021-01-23 13:00:00,259.7
2021-01-23 14:00:00,287.97
2021-01-23 15:00:00,310.97
2021-01-23 16:00:00,341.53
2021-01-23 17:00:00,427.8
2021-01-23 18:00:00,444.07
2021-01-23 19:00:00,438.67
2021-01-23 20:00:00,458.93
2021-01-23 21:00:00,433.23
2021-01-23 22:00:00,402.87
2021-01-23 23:00:00,350.07
2021-01-24 00:00:00,294.7
2021-01-24 01:00:00,267.7
2021-01-24 02:00:00,250.33
2021-01-24 03:00:00,235.07
2021-01-24 04:00:00,224.2
2021-01-24 05:00:00,241.63
2021-01-24 06:00:00,265.23
2021-01-24 07:00:00,282.4
2021-01-24 08:00:00,287.53
2021-01-24 09:00:00,311.97
2021-01-24 10:00:00,315.5
2021-01-24 11:00:00,236.33
2021-01-24 12:00:00,250.77
2021-01-24 13:00:00,247.33
2021-01-24 14:00:00,216.57
2021-01-24 15:00:00,200.33
2021-01-24 16:00:00,269.77
2021-01-24 17:00:00,370.4
2021-01-24 18:00:00,424.97
2021-01-24 19:00:00,433.5
2021-01-24 20:00:00,424.67
2021-01-24 21:00:00,402.97
2021-01-24 22:00:00,348.47
2021-01-24 23:00:00,311.77
2021-01-25 00:00:00,276.73
2021-01-25 01:00:00,249.03
2021-01-25 02:00:00,234.07
2021-01-25 03:00:00,220.03
2021-01-25 04:00:00,216.7
2021-01-25 05:00:00,218.6
2021-01-25 06:00:00,248.57
2021-01-25 07:00:00,292.1
2021-01-25 08:00:00,317.87
2021-01-25 09:00:00,316.17
2021-01-25 10:00:00,294.13
2021-01-25 11:00:00,270.17
2021-01-25 12:00:00,267.03
2021-01-25 13:00:00,247.3
2021-01-25 14:00:00,241.87
2021-01-25 15:00:00,236.8
2021-01-25 16:00:00,268.83
2021-01-25 17:00:00,338.2
2021-01-25 18:00:00,387.57
2021-01-25 19:00:00,385.23
2021-01-25 20:00:00,368.77
2021-01-25 21:00:00,357.1
2021-01-25 22:00:00,327.33
2021-01-25 23:00:00,296.3
2021-01-26 00:00:00,263.97
2021-01-26 01:00:00,240.47
2021-01-26 02:00:00,223.83
2021-01-26 03:00:00,209.83
2021-01-26 04:00:00,202.83
2021-01-26 05:00:00,221.13
2021-01-26 06:00:00,235.53
2021-01-26 07:00:00,270.6
2021-01-26 08:00:00,290.37
2021-01-26 09:00:00,274.5
2021-01-26 10:00:00,283.57
2021-01-26 11:00:00,274.73
2021-01-26 12:00:00,252.9
2021-01-26 13:00:00,257.4
2021-01-26 14:00:00,262.97
2021-01-26 15:00:00,250.17
2021-01-26 16:00:00,290.27
2021-01-26 17:00:00,361.53
2021-01-26 18:00:00,409.9
2021-01-26 19:00:00,428.9
2021-01-26 20:00:00,395.2
2021-01-26 21:00:00,368.5
2021-01-26 22:00:00,333.27
2021-01-26 23:00:00,309.33
2021-01-27 00:00:00,263.33
2021-01-27 01:00:00,232.5
2021-01-27 02:00:00,212.97
2021-01-27 03:00:00,208.9
2021-01-27 04:00:00,217.87
2021-01-27 05:00:00,220.83
2021-01-27 06:00:00,254.43
2021-01-27 07:00:00,291.87
2021-01-27 08:00:00,299.3
2021-01-27 09:00:00,332.57
2021-01-27 10:00:00,333.0
2021-01-27 11:00:00,345.7
2021-01-27 12:00:00,334.77
2021-01-27 13:00:00,179.57
2021-01-27 14:00:00,296.6
2021-01-27 15:00:00,327.17
2021-01-27 16:00:00,298.33
2021-01-27 17:00:00,363.4
2021-01-27 18:00:00,462.9
2021-01-27 19:00:00,465.0
2021-01-27 20:00:00,445.8
2021-01-27 21:00:00,422.87
2021-01-27 22:00:00,404.17
2021-01-27 23:00:00,347.54
2021-01-28 00:00:00,299.9
2021-01-28 01:00:00,259.77
2021-01-28 02:00:00,236.13
2021-01-28 03:00:00,228.17
2021-01-28 04:00:00,225.47
2021-01-28 05:00:00,229.37
2021-01-28 06:00:00,269.13
2021-01-28 07:00:00,306.83
2021-01-28 08:00:00,345.43
2021-01-28 09:00:00,335.83
2021-01-28 10:00:00,301.47
2021-01-28 11:00:00,274.9
2021-01-28 12:00:00,257.1
2021-01-28 13:00:00,253.57
2021-01-28 14:00:00,262.17
2021-01-28 15:00:00,294.03
2021-01-28 16:00:00,371.67
2021-01-28 17:00:00,467.7
2021-01-28 18:00:00,528.8
2021-01-28 19:00:00,542.1
2021-01-28 20:00:00,514.27
2021-01-28 21:00:00,476.63
2021-01-28 22:00:00,429.5
2021-01-28 23:00:00,366.8
2021-01-29 00:00:00,313.83
2021-01-29 01:00:00,281.83
2021-01-29 02:00:00,262.27
2021-01-29 03:00:00,241.27
2021-01-29 04:00:00,241.73
2021-01-29 05:00:00,259.23
2021-01-29 06:00:00,287.0
2021-01-29 07:00:00,327.73
2021-01-29 08:00:00,355.23
2021-01-29 09:00:00,326.77
2021-01-29 10:00:00,242.96
2021-01-29 11:00:00,162.5
2021-01-29 12:00:00,136.9
2021-01-29 13:00:00,136.83
2021-01-29 14:00:00,157.67
2021-01-29 15:00:00,189.63
2021-01-29 16:00:00,301.63
2021-01-29 17:00:00,408.07
2021-01-29 18:00:00,470.17
2021-01-29 19:00:00,485.73
2021-01-29 20:00:00,470.73
2021-01-29 21:00:00,450.2
2021-01-29 22:00:00,413.5
2021-01-29 23:00:00,384.63
2021-01-30 00:00:00,335.53
2021-01-30 01:00:00,291.8
2021-01-30 02:00:00,260.3
2021-01-30 03:00:00,236.77
2021-01-30 04:00:00,240.9
2021-01-30 05:00:00,247.1
2021-01-30 06:00:00,255.53
2021-01-30 07:00:00,267.53
2021-01-30 08:00:00,296.23
2021-01-30 09:00:00,332.0
2021-01-30 10:00:00,368.73
2021-01-30 11:00:00,384.03
2021-01-30 12:00:00,386.03
2021-01-30 13:00:00,348.4
2021-01-30 14:00:00,294.3
2021-01-30 15:00:00,287.83
2021-01-30 16:00:00,366.7
2021-01-30 17:00:00,403.37
2021-01-30 18:00:00,476.8
2021-01-30 19:00:00,463.73
2021-01-30 20:00:00,429.27
2021-01-30 21:00:00,405.37
2021-01-30 22:00:00,368.53
2021-01-30 23:00:00,320.97
2021-01-31 00:00:00,284.17
2021-01-31 01:00:00,251.27
2021-01-31 02:00:00,240.43
2021-01-31 03:00:00,225.7
2021-01-31 04:00:00,215.47
2021-01-31 05:00:00,218.67
2021-01-31 06:00:00,243.73
2021-01-31 07:00:00,258.03
2021-01-31 08:00:00,253.7
2021-01-31 09:00:00,219.5
2021-01-31 10:00:00,189.93
2021-01-31 11:00:00,127.77
2021-01-31 12:00:00,117.73
2021-01-31 13:00:00,112.33
2021-01-31 14:00:00,127.8
