date,10min,time,value
03.01.21  ,6,21:50:00,56.333
03.01.21  ,1,22:00:00,56.6
03.01.21  ,2,22:10:00,54.267
03.01.21  ,3,22:20:00,53.833
03.01.21  ,4,22:30:00,54.167
03.01.21  ,5,22:40:00,53.133
03.01.21  ,6,22:50:00,50.467
03.01.21  ,1,23:00:00,48.433
03.01.21  ,2,23:10:00,48.0
03.01.21  ,3,23:20:00,47.4
03.01.21  ,4,23:30:00,46.7
03.01.21  ,5,23:40:00,45.133
03.01.21  ,6,23:50:00,44.367
04.01.21  ,1,00:00:00,43.433
04.01.21  ,2,00:10:00,44.133
04.01.21  ,3,00:20:00,43.133
04.01.21  ,4,00:30:00,42.533
04.01.21  ,5,00:40:00,41.133
04.01.21  ,6,00:50:00,41.233
04.01.21  ,1,01:00:00,38.6
04.01.21  ,2,01:10:00,37.667
04.01.21  ,3,01:20:00,37.033
04.01.21  ,4,01:30:00,36.2
04.01.21  ,5,01:40:00,35.9
04.01.21  ,6,01:50:00,35.9
04.01.21  ,1,02:00:00,35.7
04.01.21  ,2,02:10:00,34.8
04.01.21  ,3,02:20:00,35.3
04.01.21  ,4,02:30:00,34.567
04.01.21  ,5,02:40:00,34.433
04.01.21  ,6,02:50:00,33.667
04.01.21  ,1,03:00:00,33.133
04.01.21  ,2,03:10:00,32.2
04.01.21  ,3,03:20:00,32.0
04.01.21  ,4,03:30:00,31.667
04.01.21  ,5,03:40:00,31.667
04.01.21  ,6,03:50:00,32.1
04.01.21  ,1,04:00:00,31.833
04.01.21  ,2,04:10:00,31.833
04.01.21  ,3,04:20:00,31.367
04.01.21  ,4,04:30:00,31.933
04.01.21  ,5,04:40:00,31.867
04.01.21  ,6,04:50:00,32.7
04.01.21  ,1,05:00:00,32.2
04.01.21  ,2,05:10:00,32.833
04.01.21  ,3,05:20:00,33.5
04.01.21  ,4,05:30:00,33.733
04.01.21  ,5,05:40:00,33.533
04.01.21  ,6,05:50:00,33.733
04.01.21  ,1,06:00:00,33.067
04.01.21  ,2,06:10:00,36.3
04.01.21  ,3,06:20:00,38.933
04.01.21  ,4,06:30:00,38.467
04.01.21  ,5,06:40:00,37.1
04.01.21  ,6,06:50:00,36.733
04.01.21  ,1,07:00:00,37.267
04.01.21  ,2,07:10:00,36.733
04.01.21  ,3,07:20:00,36.533
04.01.21  ,4,07:30:00,37.833
04.01.21  ,5,07:40:00,38.5
04.01.21  ,6,07:50:00,39.233
04.01.21  ,1,08:00:00,38.033
04.01.21  ,2,08:10:00,37.767
04.01.21  ,3,08:20:00,37.033
04.01.21  ,4,08:30:00,38.467
04.01.21  ,5,08:40:00,38.6
04.01.21  ,6,08:50:00,38.4
04.01.21  ,1,09:00:00,39.8
04.01.21  ,2,09:10:00,39.067
04.01.21  ,3,09:20:00,37.133
04.01.21  ,4,09:30:00,33.7
04.01.21  ,5,09:40:00,29.6
04.01.21  ,6,09:50:00,27.6
04.01.21  ,1,10:00:00,26.7
04.01.21  ,2,10:10:00,23.2
04.01.21  ,3,10:20:00,20.967
04.01.21  ,4,10:30:00,20.167
04.01.21  ,5,10:40:00,22.5
04.01.21  ,6,10:50:00,20.367
04.01.21  ,1,11:00:00,19.267
04.01.21  ,2,11:10:00,21.833
04.01.21  ,3,11:20:00,23.6
04.01.21  ,4,11:30:00,32.6
04.01.21  ,5,11:40:00,26.2
04.01.21  ,6,11:50:00,18.467
04.01.21  ,1,12:00:00,17.0
04.01.21  ,2,12:10:00,16.733
04.01.21  ,3,12:20:00,18.667
04.01.21  ,4,12:30:00,17.3
04.01.21  ,5,12:40:00,16.233
04.01.21  ,6,12:50:00,15.0
04.01.21  ,1,13:00:00,21.267
04.01.21  ,2,13:10:00,29.233
04.01.21  ,3,13:20:00,29.533
04.01.21  ,4,13:30:00,15.833
04.01.21  ,5,13:40:00,23.533
04.01.21  ,6,13:50:00,23.367
04.01.21  ,1,14:00:00,28.833
04.01.21  ,2,14:10:00,29.767
04.01.21  ,3,14:20:00,24.1
04.01.21  ,4,14:30:00,33.267
04.01.21  ,5,14:40:00,29.767
04.01.21  ,6,14:50:00,29.3
04.01.21  ,1,15:00:00,32.1
04.01.21  ,2,15:10:00,32.6
04.01.21  ,3,15:20:00,36.9
04.01.21  ,4,15:30:00,38.6
04.01.21  ,5,15:40:00,39.533
04.01.21  ,6,15:50:00,42.333
04.01.21  ,1,16:00:00,41.0
04.01.21  ,2,16:10:00,41.733
04.01.21  ,3,16:20:00,41.733
04.01.21  ,4,16:30:00,44.2
04.01.21  ,5,16:40:00,46.933
04.01.21  ,6,16:50:00,47.2
04.01.21  ,1,17:00:00,46.9
04.01.21  ,2,17:10:00,47.467
04.01.21  ,3,17:20:00,51.667
04.01.21  ,4,17:30:00,57.1
04.01.21  ,5,17:40:00,60.967
04.01.21  ,6,17:50:00,57.8
04.01.21  ,1,18:00:00,60.5
04.01.21  ,2,18:10:00,59.3
04.01.21  ,3,18:20:00,58.633
04.01.21  ,4,18:30:00,58.3
04.01.21  ,5,18:40:00,59.167
04.01.21  ,6,18:50:00,58.633
04.01.21  ,1,19:00:00,57.467
04.01.21  ,2,19:10:00,59.233
04.01.21  ,3,19:20:00,59.933
04.01.21  ,4,19:30:00,60.133
04.01.21  ,5,19:40:00,62.133
04.01.21  ,6,19:50:00,61.833
04.01.21  ,1,20:00:00,62.533
